hot_inlet_temperature_k,cold_inlet_mass_flow_kg_s,hot_outlet_temperature_k,cold_outlet_temperature_k,hx_1_heat_load_kw,hot_outlet_pressure_pa,cold_outlet_pressure_pa,hot_outlet_mass_flow_kg_s,cold_outlet_mass_flow_kg_s,hx_1_logarithmic_mean_temperature_difference_lmtd_k,hot_inlet_temperature_k_noisy,cold_inlet_mass_flow_kg_s_noisy,hot_outlet_temperature_k_noisy,cold_outlet_temperature_k_noisy,hx_1_heat_load_kw_noisy,hot_outlet_pressure_pa_noisy,cold_outlet_pressure_pa_noisy,hot_outlet_mass_flow_kg_s_noisy,cold_outlet_mass_flow_kg_s_noisy,hx_1_logarithmic_mean_temperature_difference_lmtd_k_noisy
373.15,0.5,378.649,2011.51,61.3959,500000,100000,1,0.5,61.3959,382.417444309807,0.4830376317378194,391.8368239392793,1613.1159681532563,57.050382172536295,502455.1536419764,100394.18879834068,1.0160076203919732,0.5166000269288452,67.29539866538349
373.15,1.0,377.031,2011.51,68.2274,500000,100000,1,1.0,68.2274,364.4606471227629,1.0425704968381326,393.92569174779504,1664.9784575024685,88.94000663210464,500813.7638696844,90198.83130693717,0.9553936580652348,0.9207197139138854,74.09767922113082
373.15,1.5,376.442,2011.51,70.7114,500000,100000,1,1.5,70.7114,374.4099074789649,1.602075502857733,382.0488324102663,1949.3620911801413,73.9239062375629,495636.32671985886,103696.5386027738,0.9924568422925234,1.4969406099518825,77.67753083606722
373.15,2.0,376.138,2011.51,71.9942,500000,100000,1,2.0,71.9942,353.4157583430053,1.945870090503776,393.68369766094,1822.796824408132,56.02385589600917,493851.8240230854,105842.31656126,1.00397896661968,2.0280559149737827,64.22768166736977
373.15,2.5,375.953,2011.51,72.7772,500000,100000,1,2.5,72.7772,345.5644759647197,2.3964632799564503,345.3654919526051,1839.2882633525223,52.9336827252534,491562.7724703577,100701.27241462964,0.9981139807237486,2.618863283040456,60.70462832117113
373.15,3.0,375.828,2011.51,73.3048,500000,100000,1,3.0,73.3048,390.52535882241045,3.06503124157088,408.7495495555008,1776.2300109620487,66.26660102566424,495144.1455114122,101093.97142667502,0.992383235146879,3.001779758352056,74.83558094391692
373.15,3.5,375.738,2011.51,73.6844,500000,100000,1,3.5,73.6844,371.8064711566149,3.451641323367262,399.5437355715776,2234.2155182843844,79.73577200153582,520277.4824493389,98607.7763962065,1.019645989490927,3.836858628988725,75.26734576232109
373.15,4.0,375.67,2011.51,73.9707,500000,100000,1,4.0,73.9707,367.5712703586831,3.7843369866741545,363.4029994209615,2269.200029197268,103.39893330819814,505417.94686095166,102087.640711813,1.0106760417901866,3.875384239851186,69.57197302243175
373.15,4.5,375.617,2011.51,74.1942,500000,100000,1,4.5,74.1942,363.2659989982165,4.673261274506457,368.57403537054495,1957.366320001421,75.33972856790483,528342.8527938153,93042.97711224972,1.0095088740779774,4.540994902118442,64.52144065845542
373.15,5.0,375.574,2011.51,74.3736,500000,100000,1,5.0,74.3736,368.7731905590532,4.854208570686011,402.224769401184,1976.7317091749912,69.9105631394951,544312.3737891999,98776.70984648264,1.138195694143281,5.441208716556111,83.74009019177001
375.17,0.5,378.441,2011.51,62.2757,500000,100000,1,0.5,62.2757,348.6197679352473,0.5351411899376991,306.1745587999237,2114.5646969784234,63.9868348922524,493173.0837766418,100460.54961341084,0.9420176642306088,0.4675007038411576,48.749683260023374
375.17,1.0,376.818,2011.51,69.1246,500000,100000,1,1.0,69.1246,374.67263946738586,1.0932099762943674,382.732860410726,2097.757954817954,79.44245583655211,472237.2729198173,94444.34382498173,0.9979773624622136,1.055429538769498,75.04046081079788
375.17,1.5,376.229,2011.51,71.6127,500000,100000,1,1.5,71.6127,401.4843170816948,1.552440932900399,441.7612600441878,2092.264583177659,63.19582873269731,499953.3463428941,99385.06712793464,0.9142658366593835,1.4982716910470335,81.32980099769502
375.17,2.0,375.924,2011.51,72.8974,500000,100000,1,2.0,72.8974,384.0538836100701,1.9726372389606728,357.177233106174,2316.809262125477,62.17654464435202,457137.31772091327,99029.59093181558,0.958783945759351,1.7938836155605462,76.24958948761213
375.17,2.5,375.738,2011.51,73.6815,500000,100000,1,2.5,73.6815,380.04501139590906,2.528279761083428,401.5652247291836,1791.925512744533,60.38675170219867,493307.8723927796,91498.25089322867,1.038877152889098,2.57829321786594,80.3261058557605
375.17,3.0,375.613,2011.51,74.2097,500000,100000,1,3.0,74.2097,361.7698389249524,3.1583541373324726,417.4383096136547,2240.5860369562365,76.21677614388582,550056.7273743603,94657.6462233306,1.0587773624796155,2.82753101581169,76.89770001417112
